gene	stat
ENSG00000091831	34.792355851444405
ENSG00000230115	34.070586125794954
ENSG00000134830	33.819604045742906
ENSG00000120262	33.15318736239409
ENSG00000204434	30.6375126490206
ENSG00000109436	30.452392934209378
ENSG00000107485	29.93318538513062
ENSG00000150667	29.645472396575254
ENSG00000248779	29.557045706708074
ENSG00000251141	29.474934323230706
ENSG00000187720	29.41849880957896
ENSG00000188001	29.21432872362365
ENSG00000255974	29.207472794158917
ENSG00000198077	29.022189878724955
ENSG00000171428	28.874910657389908
ENSG00000170367	28.77804973861215
ENSG00000141424	28.43309056836278
ENSG00000175356	28.278279206628195
ENSG00000233622	27.846638939140135
ENSG00000256612	27.80514730471127
ENSG00000168350	27.685535225580217
ENSG00000004838	27.664393035589775
ENSG00000183044	27.268574498804238
ENSG00000132554	27.188835223033074
ENSG00000074410	27.14339063333671
ENSG00000146476	27.075965645620542
ENSG00000116176	26.93115599285493
ENSG00000144891	26.898440230087417
ENSG00000206113	26.697930094886548
ENSG00000188916	26.657948666437317
ENSG00000178935	26.593910415530917
ENSG00000235058	26.5797971772143
ENSG00000157303	26.494109420477717
ENSG00000170893	26.45367909149028
ENSG00000197308	26.431951347702793
ENSG00000225208	26.153221155911492
ENSG00000273472	26.14480914744001
ENSG00000029725	25.997019666410498
ENSG00000163879	25.905170664014225
ENSG00000173467	25.885854129078037
ENSG00000232638	25.783582938729214
ENSG00000196177	25.78321663476128
ENSG00000276644	25.588302049641193
ENSG00000196405	25.57425641448661
ENSG00000075886	25.559984985208107
ENSG00000089101	25.554128337730884
ENSG00000172771	25.49369195588468
ENSG00000108932	25.382664698478195
ENSG00000232400	25.11762009303903
ENSG00000249203	25.038331814101095
ENSG00000100095	25.03064285496351
ENSG00000187045	25.01989093035282
ENSG00000127663	25.003186284881284
ENSG00000100219	24.840679334451824
ENSG00000207422	24.835936141557845
ENSG00000075275	24.811119070420826
ENSG00000134352	24.78848357210124
ENSG00000196208	24.621924639492267
ENSG00000170959	24.579145155351554
ENSG00000108176	24.296244654901553
ENSG00000248360	24.2266501844529
ENSG00000224559	24.16092604641633
ENSG00000237940	24.131914669650016
ENSG00000124249	24.090153483951376
ENSG00000186868	24.015180478654838
ENSG00000204740	23.90123784522114
ENSG00000152049	23.85537576863213
ENSG00000178467	23.767550203682468
ENSG00000162891	23.690551692800412
ENSG00000151892	23.68876104969977
ENSG00000203709	23.567746960206893
ENSG00000197375	23.555174240502758
ENSG00000135346	23.477318841438564
ENSG00000171604	23.412378186349738
ENSG00000160345	23.35854638157368
ENSG00000118307	23.337798127034535
ENSG00000007402	23.239454193087713
ENSG00000124171	23.19636734073485
ENSG00000084444	23.120976922857142
ENSG00000115648	23.056965623126462
ENSG00000152086	23.0426416786113
ENSG00000141294	22.94421673378636
ENSG00000249346	22.86948085523978
ENSG00000164331	22.80653261662349
ENSG00000152076	22.799124857081512
ENSG00000130045	22.791300596217656
ENSG00000153002	22.753208912204837
ENSG00000154153	22.748762540507187
ENSG00000165140	22.700751675901813
ENSG00000163040	22.692525699859626
ENSG00000166106	22.687875538222322
ENSG00000165533	22.645811156075293
ENSG00000102362	22.63584965065141
ENSG00000158258	22.63574319730552
ENSG00000144218	22.612108663727557
ENSG00000163697	22.5360704801899
ENSG00000250906	22.517870244396835
ENSG00000119661	22.46230494747738
ENSG00000143412	22.4464302976624
ENSG00000166275	22.43721303181321
ENSG00000254164	22.40112712276513
ENSG00000089199	22.39204265486431
ENSG00000233823	22.369120712356402
ENSG00000148154	22.36653135750138
ENSG00000140332	22.348954170463315
ENSG00000092068	22.314429273291736
ENSG00000183779	22.28241663874039
ENSG00000233006	22.228940233738527
ENSG00000130612	22.171932020439165
ENSG00000127084	22.13817665213203
ENSG00000163491	22.115644017014024
ENSG00000161031	22.105883565048075
ENSG00000136883	22.092544628743685
ENSG00000108576	22.065666310072697
ENSG00000090539	22.033418143850348
ENSG00000250418	22.01219466189963
ENSG00000124126	21.971214993140244
ENSG00000101222	21.940719345088116
ENSG00000253125	21.926051417603123
ENSG00000122711	21.868408566513427
ENSG00000187486	21.85404988546004
ENSG00000196553	21.82907108175058
ENSG00000268204	21.808365626793893
ENSG00000174788	21.76628286151675
ENSG00000259793	21.762262986405055
ENSG00000214447	21.744855673650996
ENSG00000198863	21.707138494464093
ENSG00000105792	21.647358224281355
ENSG00000147642	21.633192069035985
ENSG00000188869	21.62869801648571
ENSG00000116191	21.60437203216369
ENSG00000178568	21.592587681036782
ENSG00000198788	21.589213457281733
ENSG00000112874	21.585185036201995
ENSG00000003989	21.541569745687344
ENSG00000152582	21.509921132940942
ENSG00000162104	21.460514853253432
ENSG00000105695	21.459809182072426
ENSG00000170099	21.457141565381157
ENSG00000160188	21.389830019999934
ENSG00000100583	21.37729855375253
ENSG00000268529	21.339062467597735
ENSG00000102316	21.30859828846375
ENSG00000189157	21.307440455806958
ENSG00000204511	21.306928901875143
ENSG00000131096	21.28566976285553
ENSG00000277842	21.284016618638674
ENSG00000136457	21.21495627050371
ENSG00000067715	21.184746099726897
ENSG00000167131	21.115802347019265
ENSG00000272335	21.114553626853766
ENSG00000109501	21.111457139709962
ENSG00000172465	21.08053232879235
ENSG00000249661	21.07357895381964
ENSG00000137502	21.071313673002578
ENSG00000050438	21.052535411640033
ENSG00000254231	21.03889754728732
ENSG00000138696	21.030388328784298
ENSG00000136944	21.022155545010058
ENSG00000137449	21.004577870430673
ENSG00000250604	21.003064091570042
ENSG00000119636	20.998306288116872
ENSG00000138613	20.992607414936153
ENSG00000162543	20.977146048962318
ENSG00000270930	20.966392748978514
ENSG00000175985	20.961505575566672
ENSG00000168301	20.93260318533733
ENSG00000123124	20.9202241813519
ENSG00000113739	20.905177062136623
ENSG00000169891	20.90413965574455
ENSG00000249306	20.884954109289843
ENSG00000183323	20.83366305036579
ENSG00000204049	20.82941543332411
ENSG00000230873	20.819842295589766
ENSG00000214237	20.771373380557712
ENSG00000248429	20.742659377544133
