ensembl,baseMean,log2FoldChange,lfcSE,pvalue,padj,padj_bonf,is_sig,SYMBOL,gene
ENSG00000091831,3010515.806396936,5.854040306351195,0.0971221214565049,2.8318033440681634e-265,6.246108636011148e-261,6.246108636011148e-261,TRUE,ESR1,ESR1
ENSG00000134830,119724.60948127531,2.863482012447298,0.08498801719095046,2.633248031321258e-250,2.9040775913426496e-246,5.808155182685299e-246,TRUE,C5AR2,C5AR2
ENSG00000120262,142983.71450309208,3.1090970265438314,0.09399781683534603,1.9984107422623693e-241,1.4692981914027025e-237,4.407894574208108e-237,TRUE,CCDC170,CCDC170
ENSG00000109436,2637847.334414837,4.021902726413389,0.07564743061199769,3.209904206554672e-204,1.77002142709941e-200,7.08008570839764e-200,TRUE,TBC1D9,TBC1D9
ENSG00000107485,3406982.7256229767,4.115187987962486,0.07247449624120797,1.4163721018709043e-196,6.248183890193307e-193,3.1240919450966534e-192,TRUE,GATA3,GATA3
ENSG00000187720,833799.5840957119,2.7873008771433954,0.08658245946575886,1.2879897065285503e-190,4.734864826150039e-187,2.840918895690023e-186,TRUE,THSD4,THSD4
ENSG00000171428,829092.7726970413,3.834121479096709,0.13324034576482788,9.146739726094775e-184,2.8821376876924635e-180,2.0174963813847243e-179,TRUE,NAT1,NAT1
ENSG00000053524,35161.662211906565,-2.3603885199408134,0.0825513528999135,1.412132054555515e-180,3.8934245909163744e-177,3.1147396727330995e-176,TRUE,MCF2L2,MCF2L2
ENSG00000141424,7321430.765904538,4.950084993888296,0.07138290604411429,3.4592763542688554e-178,8.477917616234238e-175,7.630125854610814e-174,TRUE,SLC39A6,SLC39A6
ENSG00000135912,196626.30406272766,-1.578459480683802,0.05567087706273579,1.9933717497348897e-177,4.396780068390246e-174,4.396780068390246e-173,TRUE,TTLL4,TTLL4
ENSG00000175356,2160320.821598732,5.452489517204829,0.11605747580761962,3.635977736529329e-176,7.290796448602492e-173,8.019876093462742e-172,TRUE,SCUBE2,SCUBE2
ENSG00000163064,90040.76617382445,-3.891768645333143,0.13780790684880032,5.048108251965849e-176,9.278843642800893e-173,1.1134612371361072e-171,TRUE,EN1,EN1
ENSG00000176597,87123.9772347363,-2.4176610317960363,0.08697357105203149,9.762163748163016e-171,1.6563388137940894e-167,2.1532404579323165e-166,TRUE,B3GNT5,B3GNT5
ENSG00000004838,88260.25732696029,2.746686465966765,0.09635010521163997,4.0239269061817045e-168,6.339696840689275e-165,8.875575576964985e-164,TRUE,ZMYND10,ZMYND10
ENSG00000168350,634218.4512538126,2.3694414906187276,0.07997784376471512,8.642494812546109e-168,1.2708500538688635e-164,1.9062750808032952e-163,TRUE,DEGS2,DEGS2
ENSG00000204248,54400.82935649178,-4.294082244100563,0.15622086501983723,7.66830735675103e-167,1.0571240960491093e-163,1.691398553678575e-162,TRUE,COL11A2,COL11A2
ENSG00000272620,52812.62007005205,-2.7041167827374633,0.09881451498017879,1.1465878285419918e-166,1.4876639843618068e-163,2.5290287734150713e-162,TRUE,AFAP1-AS1,AFAP1-AS1
ENSG00000154548,8802.817232265324,-2.927897392860355,0.10712719062418505,3.9648686536194373e-165,4.858505994049108e-162,8.745310789288392e-161,TRUE,SRSF12,SRSF12
ENSG00000183044,400888.0214085339,2.745234344091157,0.09197512234406324,3.3258709033829406e-164,3.860986027153554e-161,7.335873451591752e-160,TRUE,ABAT,ABAT
ENSG00000132554,43066.512127016336,3.8272348898932904,0.14142139695613618,5.481614117612814e-163,6.045398129609291e-160,1.2090796259218583e-158,TRUE,RGS22,RGS22
